GAME_ID,GAME_DATE,SEASON_ID,GAME_DATE_EST,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID
22500001,,,2025-10-21,7:30 pm ET,1610612760.0,1610612745.0
22500002,,,2025-10-21,10:00 pm ET,1610612747.0,1610612744.0
22500003,,,2025-10-22,7:00 pm ET,1610612752.0,1610612739.0
22500080,,,2025-10-22,7:00 pm ET,1610612766.0,1610612751.0
22500081,,,2025-10-22,7:00 pm ET,1610612753.0,1610612748.0
22500082,,,2025-10-22,7:30 pm ET,1610612737.0,1610612761.0
22500083,,,2025-10-22,7:30 pm ET,1610612738.0,1610612755.0
22500084,,,2025-10-22,8:00 pm ET,1610612741.0,1610612765.0
22500085,,,2025-10-22,8:00 pm ET,1610612763.0,1610612740.0
22500086,,,2025-10-22,8:00 pm ET,1610612749.0,1610612764.0
22500087,,,2025-10-22,9:00 pm ET,1610612762.0,1610612746.0
22500004,,,2025-10-22,9:30 pm ET,1610612742.0,1610612759.0
22500088,,,2025-10-22,10:00 pm ET,1610612756.0,1610612758.0
22500089,,,2025-10-22,10:00 pm ET,1610612757.0,1610612750.0
22500005,,,2025-10-23,7:30 pm ET,1610612754.0,1610612760.0
22500006,,,2025-10-23,10:00 pm ET,1610612744.0,1610612743.0
22500090,,,2025-10-24,7:00 pm ET,1610612753.0,1610612737.0
22500018,,,2025-10-24,7:30 pm ET,1610612752.0,1610612738.0
22500091,,,2025-10-24,7:30 pm ET,1610612751.0,1610612739.0
22500092,,,2025-10-24,7:30 pm ET,1610612761.0,1610612749.0
22500093,,,2025-10-24,8:00 pm ET,1610612745.0,1610612765.0
22500094,,,2025-10-24,8:00 pm ET,1610612763.0,1610612748.0
22500095,,,2025-10-24,8:00 pm ET,1610612740.0,1610612759.0
22500096,,,2025-10-24,8:30 pm ET,1610612742.0,1610612764.0
22500019,,,2025-10-24,10:00 pm ET,1610612747.0,1610612750.0
22500097,,,2025-10-24,10:00 pm ET,1610612757.0,1610612744.0
22500098,,,2025-10-24,10:00 pm ET,1610612758.0,1610612762.0
22500099,,,2025-10-24,10:30 pm ET,1610612746.0,1610612756.0
22500100,,,2025-10-25,7:00 pm ET,1610612753.0,1610612741.0
22500101,,,2025-10-25,7:30 pm ET,1610612737.0,1610612760.0
22500102,,,2025-10-25,7:30 pm ET,1610612755.0,1610612766.0
22500103,,,2025-10-25,8:00 pm ET,1610612763.0,1610612754.0
22500104,,,2025-10-25,9:00 pm ET,1610612743.0,1610612756.0
22500105,,,2025-10-26,2:00 pm ET,1610612759.0,1610612751.0
22500106,,,2025-10-26,3:30 pm ET,1610612765.0,1610612738.0
22500107,,,2025-10-26,6:00 pm ET,1610612739.0,1610612749.0
22500108,,,2025-10-26,6:00 pm ET,1610612748.0,1610612752.0
22500109,,,2025-10-26,6:00 pm ET,1610612764.0,1610612766.0
22500110,,,2025-10-26,7:00 pm ET,1610612750.0,1610612754.0
22500111,,,2025-10-26,7:30 pm ET,1610612742.0,1610612761.0
22500112,,,2025-10-26,9:00 pm ET,1610612746.0,1610612757.0
22500113,,,2025-10-26,9:00 pm ET,1610612758.0,1610612747.0
22500007,,,2025-10-27,7:00 pm ET,1610612765.0,1610612739.0
22500114,,,2025-10-27,7:00 pm ET,1610612755.0,1610612753.0
22500115,,,2025-10-27,8:00 pm ET,1610612741.0,1610612737.0
22500116,,,2025-10-27,8:00 pm ET,1610612745.0,1610612751.0
22500117,,,2025-10-27,8:00 pm ET,1610612740.0,1610612738.0
22500118,,,2025-10-27,8:00 pm ET,1610612759.0,1610612761.0
22500119,,,2025-10-27,8:30 pm ET,1610612742.0,1610612760.0
22500120,,,2025-10-27,9:00 pm ET,1610612762.0,1610612756.0
22500008,,,2025-10-27,9:30 pm ET,1610612750.0,1610612743.0
22500121,,,2025-10-27,10:00 pm ET,1610612744.0,1610612763.0
22500122,,,2025-10-27,10:30 pm ET,1610612747.0,1610612757.0
22500123,,,2025-10-28,7:00 pm ET,1610612764.0,1610612755.0
22500124,,,2025-10-28,7:30 pm ET,1610612748.0,1610612766.0
22500125,,,2025-10-28,8:00 pm ET,1610612749.0,1610612752.0
22500126,,,2025-10-28,8:00 pm ET,1610612760.0,1610612758.0
22500127,,,2025-10-28,11:00 pm ET,1610612744.0,1610612746.0
22500128,,,2025-10-29,7:00 pm ET,1610612738.0,1610612739.0
22500129,,,2025-10-29,7:00 pm ET,1610612765.0,1610612753.0
22500130,,,2025-10-29,7:30 pm ET,1610612751.0,1610612737.0
22500131,,,2025-10-29,7:30 pm ET,1610612761.0,1610612745.0
22500132,,,2025-10-29,8:00 pm ET,1610612741.0,1610612758.0
22500133,,,2025-10-29,8:30 pm ET,1610612742.0,1610612754.0
22500134,,,2025-10-29,9:00 pm ET,1610612743.0,1610612740.0
22500135,,,2025-10-29,9:00 pm ET,1610612762.0,1610612757.0
22500136,,,2025-10-29,9:30 pm ET,1610612750.0,1610612747.0
22500137,,,2025-10-29,10:00 pm ET,1610612756.0,1610612763.0
22500138,,,2025-10-30,7:00 pm ET,1610612766.0,1610612753.0
22500139,,,2025-10-30,8:00 pm ET,1610612749.0,1610612744.0
22500140,,,2025-10-30,8:00 pm ET,1610612760.0,1610612764.0
22500141,,,2025-10-30,8:30 pm ET,1610612759.0,1610612748.0
22500020,,,2025-10-31,7:00 pm ET,1610612754.0,1610612737.0
22500021,,,2025-10-31,7:00 pm ET,1610612755.0,1610612738.0
22500022,,,2025-10-31,7:30 pm ET,1610612739.0,1610612761.0
22500023,,,2025-10-31,8:00 pm ET,1610612741.0,1610612752.0
22500024,,,2025-10-31,9:30 pm ET,1610612763.0,1610612747.0
22500025,,,2025-10-31,10:00 pm ET,1610612756.0,1610612762.0
22500026,,,2025-10-31,10:00 pm ET,1610612757.0,1610612743.0
22500027,,,2025-10-31,10:30 pm ET,1610612746.0,1610612740.0
22500142,,,2025-11-01,5:00 pm ET,1610612749.0,1610612758.0
22500143,,,2025-11-01,6:00 pm ET,1610612766.0,1610612750.0
22500144,,,2025-11-01,7:00 pm ET,1610612754.0,1610612744.0
22500145,,,2025-11-01,7:00 pm ET,1610612764.0,1610612753.0
22500146,,,2025-11-01,8:00 pm ET,1610612738.0,1610612745.0
22500147,,,2025-11-01,10:00 pm ET,1610612765.0,1610612742.0
22500148,,,2025-11-02,3:30 pm ET,1610612760.0,1610612740.0
22500149,,,2025-11-02,6:00 pm ET,1610612751.0,1610612755.0
22500150,,,2025-11-02,6:00 pm ET,1610612766.0,1610612762.0
22500151,,,2025-11-02,6:00 pm ET,1610612739.0,1610612737.0
22500152,,,2025-11-02,6:00 pm ET,1610612761.0,1610612763.0
22500153,,,2025-11-02,7:00 pm ET,1610612752.0,1610612741.0
22500154,,,2025-11-02,8:00 pm ET,1610612756.0,1610612759.0
22500155,,,2025-11-02,9:30 pm ET,1610612747.0,1610612748.0
22500156,,,2025-11-03,7:00 pm ET,1610612751.0,1610612750.0
22500157,,,2025-11-03,7:00 pm ET,1610612754.0,1610612749.0
22500158,,,2025-11-03,7:30 pm ET,1610612738.0,1610612762.0
22500159,,,2025-11-03,7:30 pm ET,1610612752.0,1610612764.0
22500160,,,2025-11-03,8:00 pm ET,1610612745.0,1610612742.0
22500161,,,2025-11-03,8:00 pm ET,1610612763.0,1610612765.0
22500162,,,2025-11-03,9:00 pm ET,1610612743.0,1610612758.0
22500163,,,2025-11-03,10:00 pm ET,1610612757.0,1610612747.0
22500164,,,2025-11-03,10:30 pm ET,1610612746.0,1610612748.0
22500165,,,2025-11-04,7:30 pm ET,1610612761.0,1610612749.0
22500166,,,2025-11-04,8:00 pm ET,1610612737.0,1610612753.0
22500167,,,2025-11-04,8:00 pm ET,1610612741.0,1610612755.0
22500168,,,2025-11-04,8:00 pm ET,1610612740.0,1610612766.0
22500169,,,2025-11-04,10:00 pm ET,1610612744.0,1610612756.0
22500170,,,2025-11-04,11:00 pm ET,1610612746.0,1610612760.0
22500171,,,2025-11-05,7:00 pm ET,1610612739.0,1610612755.0
22500172,,,2025-11-05,7:00 pm ET,1610612765.0,1610612762.0
22500173,,,2025-11-05,7:00 pm ET,1610612754.0,1610612751.0
22500174,,,2025-11-05,7:30 pm ET,1610612738.0,1610612764.0
22500175,,,2025-11-05,7:30 pm ET,1610612752.0,1610612750.0
22500176,,,2025-11-05,8:00 pm ET,1610612763.0,1610612745.0
22500177,,,2025-11-05,8:30 pm ET,1610612742.0,1610612740.0
22500178,,,2025-11-05,9:00 pm ET,1610612743.0,1610612748.0
22500179,,,2025-11-05,10:00 pm ET,1610612747.0,1610612759.0
22500180,,,2025-11-05,10:00 pm ET,1610612757.0,1610612760.0
22500181,,,2025-11-05,10:00 pm ET,1610612758.0,1610612744.0
22500182,,,2025-11-06,9:00 pm ET,1610612756.0,1610612746.0
22500028,,,2025-11-07,7:00 pm ET,1610612753.0,1610612738.0
22500029,,,2025-11-07,7:00 pm ET,1610612764.0,1610612739.0
22500030,,,2025-11-07,7:30 pm ET,1610612737.0,1610612761.0
22500031,,,2025-11-07,7:30 pm ET,1610612751.0,1610612765.0
22500032,,,2025-11-07,7:30 pm ET,1610612759.0,1610612745.0
22500033,,,2025-11-07,8:00 pm ET,1610612748.0,1610612766.0
22500034,,,2025-11-07,8:00 pm ET,1610612763.0,1610612742.0
22500035,,,2025-11-07,8:00 pm ET,1610612749.0,1610612741.0
22500036,,,2025-11-07,8:00 pm ET,1610612750.0,1610612762.0
22500037,,,2025-11-07,10:00 pm ET,1610612743.0,1610612744.0
22500038,,,2025-11-07,10:00 pm ET,1610612758.0,1610612760.0
22500183,,,2025-11-08,7:00 pm ET,1610612764.0,1610612742.0
22500184,,,2025-11-08,7:30 pm ET,1610612755.0,1610612761.0
22500185,,,2025-11-08,8:00 pm ET,1610612737.0,1610612747.0
22500186,,,2025-11-08,8:00 pm ET,1610612739.0,1610612741.0
22500187,,,2025-11-08,8:00 pm ET,1610612748.0,1610612757.0
22500188,,,2025-11-08,8:00 pm ET,1610612759.0,1610612740.0
22500189,,,2025-11-08,9:00 pm ET,1610612743.0,1610612754.0
22500190,,,2025-11-08,10:30 pm ET,1610612746.0,1610612756.0
