GAME_ID,GAME_DATE,HOME_TEAM,AWAY_TEAM,PTS_HOME,PTS_AWAY,TOTAL_POINTS
22500001,2025-10-21,OKC,HOU,125,124,249
22500002,2025-10-21,LAL,GSW,109,119,228
22500089,2025-10-22,POR,MIN,114,118,232
22500088,2025-10-22,PHX,SAC,120,116,236
22500087,2025-10-22,UTA,LAC,129,108,237
22500085,2025-10-22,MEM,NOP,128,122,250
22500084,2025-10-22,CHI,DET,115,111,226
22500086,2025-10-22,MIL,WAS,133,120,253
22500082,2025-10-22,ATL,TOR,118,138,256
22500081,2025-10-22,ORL,MIA,125,121,246
22500080,2025-10-22,CHA,BKN,136,117,253
22500004,2025-10-22,DAL,SAS,92,125,217
22500003,2025-10-22,NYK,CLE,119,111,230
22500083,2025-10-22,BOS,PHI,116,117,233
22500005,2025-10-23,IND,OKC,135,141,276
22500006,2025-10-23,GSW,DEN,137,131,268
22500023,2025-10-31,CHI,NYK,135,125,260
22500024,2025-10-31,MEM,LAL,112,117,229
22500025,2025-10-31,PHX,UTA,118,96,214
22500026,2025-10-31,POR,DEN,109,107,216
22500027,2025-10-31,LAC,NOP,126,124,250
