GAME_DATE,HOME_TEAM,AWAY_TEAM,CURRENT_LINE,CLOSING_LINE
2025-10-21,Los Angeles Lakers,Golden State Warriors,225.5,
2025-10-21,Oklahoma City Thunder,Houston Rockets,224.5,
2025-10-22,Atlanta Hawks,Toronto Raptors,236.5,
2025-10-22,Boston Celtics,Philadelphia 76ers,222.0,
2025-10-22,Charlotte Hornets,Brooklyn Nets,220.0,
2025-10-22,Chicago Bulls,Detroit Pistons,236.5,
2025-10-22,Dallas Mavericks,San Antonio Spurs,226.5,
2025-10-22,Memphis Grizzlies,New Orleans Pelicans,238.0,
2025-10-22,Milwaukee Bucks,Washington Wizards,225.0,
2025-10-22,New York Knicks,Cleveland Cavaliers,227.5,
2025-10-22,Orlando Magic,Miami Heat,205.0,
2025-10-22,Phoenix Suns,Sacramento Kings,229.0,
2025-10-22,Portland Trail Blazers,Minnesota Timberwolves,216.0,
2025-10-22,Utah Jazz,Los Angeles Clippers,227.5,
2025-10-23,Golden State Warriors,Denver Nuggets,234.5,
2025-10-23,Indiana Pacers,Oklahoma City Thunder,225.5,
2025-10-24,Los Angeles Lakers,Minnesota Timberwolves,220.0,
2025-10-24,New York Knicks,Boston Celtics,226.5,
2025-10-27,Detroit Pistons,Cleveland Cavaliers,227.5,
2025-10-27,Minnesota Timberwolves,Denver Nuggets,221.5,
2025-10-31,Memphis Grizzlies,Los Angeles Lakers,235.5,
2025-10-31,Philadelphia 76ers,Boston Celtics,221.5,
2025-11-07,Denver Nuggets,Golden State Warriors,234.5,
2025-11-07,San Antonio Spurs,Houston Rockets,227.0,
2025-11-14,New York Knicks,Miami Heat,213.5,
2025-11-14,San Antonio Spurs,Golden State Warriors,231.5,
2025-11-21,Cleveland Cavaliers,Indiana Pacers,227.0,
2025-11-21,Houston Rockets,Denver Nuggets,229.0,
2025-11-25,Los Angeles Lakers,Los Angeles Clippers,219.5,
2025-11-25,Philadelphia 76ers,Orlando Magic,214.5,
2025-11-26,Boston Celtics,Detroit Pistons,226.5,
2025-11-26,Golden State Warriors,Houston Rockets,221.5,
2025-11-26,Oklahoma City Thunder,Minnesota Timberwolves,226.5,
2025-11-28,Los Angeles Lakers,Dallas Mavericks,227.0,
2025-11-28,New York Knicks,Milwaukee Bucks,224.0,
2025-12-25,Denver Nuggets,Minnesota Timberwolves,229.0,
2025-12-25,Golden State Warriors,Dallas Mavericks,225.5,
2025-12-25,Los Angeles Lakers,Houston Rockets,224.5,
2025-12-25,New York Knicks,Cleveland Cavaliers,229.5,
2025-12-25,Oklahoma City Thunder,San Antonio Spurs,227.0,
2026-01-19,Atlanta Hawks,Milwaukee Bucks,236.5,
2026-01-19,Cleveland Cavaliers,Oklahoma City Thunder,230.5,
2026-01-19,Detroit Pistons,Boston Celtics,228.5,
2026-01-19,New York Knicks,Dallas Mavericks,227.5,
