TEAM,TEAM_NAME,GP,PACE,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,EFG_PCT,UPDATED_AT
ATL,Atlanta Hawks,13,103.41,112.4,112.0,0.5,0.581,0.542,2025-11-05T22:11:58Z
BKN,Brooklyn Nets,12,102.31,107.7,118.9,-11.2,0.544,0.503,2025-11-05T22:11:58Z
BOS,Boston Celtics,13,100.11,111.1,106.3,4.7,0.54,0.506,2025-11-05T22:11:58Z
CHA,Charlotte Hornets,14,103.62,115.6,109.0,6.6,0.596,0.557,2025-11-05T22:11:58Z
CHI,Chicago Bulls,12,105.81,112.4,112.3,0.2,0.593,0.552,2025-11-05T22:11:58Z
CLE,Cleveland Cavaliers,12,102.27,110.1,108.8,1.2,0.548,0.506,2025-11-05T22:11:58Z
DAL,Dallas Mavericks,12,102.22,101.0,106.3,-5.3,0.529,0.489,2025-11-05T22:11:58Z
DEN,Denver Nuggets,11,101.79,115.4,107.8,7.6,0.591,0.553,2025-11-05T22:11:58Z
DET,Detroit Pistons,12,102.4,111.7,107.5,4.2,0.556,0.515,2025-11-05T22:11:58Z
GSW,Golden State Warriors,16,102.23,107.4,107.1,0.2,0.572,0.524,2025-11-05T22:11:58Z
HOU,Houston Rockets,11,102.34,114.1,110.9,3.2,0.567,0.527,2025-11-05T22:11:58Z
IND,Indiana Pacers,12,104.57,109.0,115.4,-6.5,0.548,0.503,2025-11-05T22:11:58Z
LAC,LA Clippers,12,101.24,107.0,108.9,-1.9,0.575,0.536,2025-11-05T22:11:58Z
LAL,Los Angeles Lakers,16,100.91,110.1,109.7,0.4,0.58,0.543,2025-11-05T22:11:58Z
MEM,Memphis Grizzlies,16,104.15,109.1,111.0,-1.9,0.56,0.513,2025-11-05T22:11:58Z
MIA,Miami Heat,15,106.35,108.5,107.5,1.0,0.589,0.547,2025-11-05T22:11:58Z
MIL,Milwaukee Bucks,13,103.36,112.1,114.3,-2.3,0.584,0.557,2025-11-05T22:11:58Z
MIN,Minnesota Timberwolves,12,102.67,112.4,108.6,3.7,0.585,0.55,2025-11-05T22:11:58Z
NOP,New Orleans Pelicans,12,103.94,103.0,116.0,-13.1,0.526,0.479,2025-11-05T22:11:58Z
NYK,New York Knicks,12,102.04,110.0,111.3,-1.3,0.546,0.504,2025-11-05T22:11:58Z
OKC,Oklahoma City Thunder,16,101.54,110.9,101.7,9.2,0.568,0.527,2025-11-05T22:11:58Z
ORL,Orlando Magic,13,103.6,105.4,110.7,-5.3,0.555,0.505,2025-11-05T22:11:58Z
PHI,Philadelphia 76ers,15,101.52,109.9,109.1,0.8,0.557,0.511,2025-11-05T22:11:58Z
PHX,Phoenix Suns,13,103.99,108.7,111.1,-2.4,0.57,0.538,2025-11-05T22:11:58Z
POR,Portland Trail Blazers,12,106.3,111.1,107.0,4.2,0.564,0.519,2025-11-05T22:11:58Z
SAC,Sacramento Kings,13,101.96,112.2,110.4,1.7,0.583,0.548,2025-11-05T22:11:58Z
SAS,San Antonio Spurs,14,100.53,109.5,103.3,6.3,0.575,0.537,2025-11-05T22:11:58Z
TOR,Toronto Raptors,13,105.41,112.2,106.5,5.8,0.585,0.548,2025-11-05T22:11:58Z
UTA,Utah Jazz,15,104.98,108.0,110.4,-2.4,0.555,0.507,2025-11-05T22:11:58Z
WAS,Washington Wizards,12,105.32,101.3,112.3,-11.0,0.539,0.51,2025-11-05T22:11:58Z
,Atlanta Dream,44,93.08,108.2,98.9,9.3,0.555,0.514,2025-11-05T22:11:58Z
,Chicago Sky,44,93.75,97.0,109.9,-12.8,0.516,0.476,2025-11-05T22:11:58Z
,Connecticut Sun,44,94.57,95.9,108.8,-12.9,0.505,0.458,2025-11-05T22:11:58Z
,Dallas Wings,44,96.34,101.6,109.1,-7.5,0.514,0.469,2025-11-05T22:11:58Z
,Golden State Valkyries,44,91.55,101.5,99.8,1.7,0.531,0.482,2025-11-05T22:11:58Z
,Indiana Fever,44,95.71,106.2,101.8,4.5,0.554,0.517,2025-11-05T22:11:58Z
,Las Vegas Aces,44,94.92,105.9,101.9,3.9,0.552,0.506,2025-11-05T22:11:58Z
,Los Angeles Sparks,44,96.84,105.2,108.5,-3.3,0.563,0.521,2025-11-05T22:11:58Z
,Minnesota Lynx,44,94.06,109.5,97.5,12.1,0.572,0.542,2025-11-05T22:11:58Z
,New York Liberty,44,95.75,105.8,100.6,5.2,0.574,0.526,2025-11-05T22:11:58Z
,Phoenix Mercury,44,95.81,103.6,100.4,3.2,0.542,0.502,2025-11-05T22:11:58Z
,Seattle Storm,44,95.28,103.0,100.1,2.9,0.539,0.505,2025-11-05T22:11:58Z
,Washington Mystics,44,94.76,97.2,103.2,-6.0,0.53,0.483,2025-11-05T22:11:58Z
