GAME_DATE,HOME_TEAM,AWAY_TEAM,PREDICTED_POINTS,REAL_TOTAL,DIFF,ABS_ERR
2025-10-26,CLE,MIL,232.98498370035472,231.0,1.984983700354718,1.984983700354718
2025-10-26,DAL,TOR,225.6476148015785,268.0,-42.3523851984215,42.3523851984215
2025-10-26,DET,BOS,223.7198283775827,232.0,-8.2801716224173,8.2801716224173
2025-10-26,LAC,POR,224.51628339456963,221.0,3.5162833945696264,3.5162833945696264
2025-10-26,MIA,NYK,237.55878478028004,222.0,15.558784780280035,15.558784780280035
2025-10-26,MIN,IND,232.72986978277257,224.0,8.729869782772568,8.729869782772568
2025-10-26,SAC,LAL,224.6571670600377,247.0,-22.342832939962307,22.342832939962307
2025-10-26,SAS,BKN,226.97139776998424,225.0,1.971397769984236,1.971397769984236
2025-10-26,WAS,CHA,235.1912720429424,252.0,-16.808727957057613,16.808727957057613
2025-10-27,CHI,ATL,240.4887349243705,251.0,-10.511265075629495,10.511265075629495
2025-10-27,DAL,OKC,230.78854782804,195.0,35.78854782804001,35.78854782804001
2025-10-27,DET,CLE,234.0900140799129,211.0,23.09001407991289,23.09001407991289
2025-10-27,GSW,MEM,224.184431253452,249.0,-24.815568746547996,24.815568746547996
2025-10-27,HOU,BKN,231.0374487040211,246.0,-14.962551295978898,14.962551295978898
2025-10-27,LAL,POR,233.01452410504493,230.0,3.014524105044927,3.014524105044927
2025-10-27,MIN,DEN,235.19822120801567,241.0,-5.801778791984333,5.801778791984333
2025-10-27,NOP,BOS,236.2446602151096,212.0,24.244660215109604,24.244660215109604
2025-10-27,PHI,ORL,225.1234758386372,260.0,-34.876524161362795,34.876524161362795
2025-10-27,SAS,TOR,243.7250286048259,224.0,19.725028604825894,19.725028604825894
2025-10-27,UTA,PHX,240.0181540461,272.0,-31.981845953900006,31.981845953900006
2025-10-28,GSW,LAC,227.5570947550124,177.0,50.5570947550124,50.5570947550124
2025-10-28,MIA,CHA,235.20081640423933,261.0,-25.799183595760667,25.799183595760667
2025-10-28,MIL,NYK,237.20539502529155,232.0,5.205395025291551,5.205395025291551
2025-10-28,OKC,SAC,231.53745953206464,208.0,23.537459532064645,23.537459532064645
2025-10-28,WAS,PHI,236.0234394169134,273.0,-36.97656058308661,36.97656058308661
2025-10-29,BKN,ATL,241.8019848164126,229.0,12.801984816412613,12.801984816412613
2025-10-29,BOS,CLE,223.7692744713984,230.0,-6.230725528601596,6.230725528601596
2025-10-29,CHI,SAC,239.2593317666436,239.0,0.2593317666436121,0.2593317666436121
2025-10-29,DAL,IND,234.84315730535928,212.0,22.843157305359284,22.843157305359284
2025-10-29,DEN,NOP,243.5674531975615,210.0,33.56745319756149,33.56745319756149
2025-10-29,DET,ORL,242.6453888416232,251.0,-8.354611158376798,8.354611158376798
2025-10-29,MIN,LAL,223.3556221218588,231.0,-7.644377878141199,7.644377878141199
2025-10-29,PHX,MEM,242.59205689823497,227.0,15.592056898234972,15.592056898234972
2025-10-29,TOR,HOU,239.0920762346218,260.0,-20.9079237653782,20.9079237653782
2025-10-29,UTA,POR,239.2023844262524,270.0,-30.797615573747606,30.797615573747606
2025-10-30,CHA,ORL,243.6607600213869,230.0,13.660760021386892,13.660760021386892
2025-10-30,MIL,GSW,251.2206761582821,230.0,21.22067615828209,21.22067615828209
2025-10-30,OKC,WAS,233.9633795664606,235.0,-1.0366204335394116,1.0366204335394116
2025-10-30,SAS,MIA,232.80439363495924,208.0,24.80439363495924,24.80439363495924
2025-10-31,CHI,NYK,236.09636917112823,260.0,-23.90363082887177,23.90363082887177
2025-10-31,CLE,TOR,236.77228255754247,213.0,23.772282557542468,23.772282557542468
2025-10-31,IND,ATL,241.1272977644041,236.0,5.127297764404091,5.127297764404091
2025-10-31,LAC,NOP,237.0913364597016,250.0,-12.908663540298392,12.908663540298392
2025-10-31,MEM,LAL,228.89444813824645,229.0,-0.10555186175355402,0.10555186175355402
2025-10-31,PHI,BOS,214.7274609133829,217.0,-2.272539086617087,2.272539086617087
2025-10-31,PHX,UTA,240.66924385133728,214.0,26.669243851337285,26.669243851337285
2025-10-31,POR,DEN,236.61680486439425,216.0,20.616804864394254,20.616804864394254
2025-11-01,BOS,HOU,225.06880959066336,229.0,-3.9311904093366365,3.9311904093366365
2025-11-01,CHA,MIN,235.02616910303925,227.0,8.026169103039251,8.026169103039251
2025-11-01,DET,DAL,228.90872256176647,232.0,-3.091277438233533,3.091277438233533
2025-11-01,IND,GSW,236.5706684343725,223.0,13.570668434372493,13.570668434372493
2025-11-01,MIL,SAC,229.5594564159064,268.0,-38.440543584093604,38.440543584093604
2025-11-01,WAS,ORL,249.5703839083355,219.0,30.570383908335486,30.570383908335486
2025-11-02,BKN,PHI,246.51639528432327,234.0,12.516395284323266,12.516395284323266
2025-11-02,CHA,UTA,228.5983148749821,229.0,-0.4016851250179059,0.4016851250179059
2025-11-02,CLE,ATL,229.53276351837744,226.0,3.532763518377436,3.532763518377436
2025-11-02,LAL,MIA,222.6169019900472,250.0,-27.38309800995279,27.38309800995279
2025-11-02,NYK,CHI,233.2125128401116,244.0,-10.7874871598884,10.7874871598884
2025-11-02,OKC,NOP,238.4725694627753,243.0,-4.527430537224689,4.527430537224689
2025-11-02,PHX,SAS,227.1696585874614,248.0,-20.830341412538587,20.830341412538587
2025-11-02,TOR,MEM,241.1335634468467,221.0,20.133563446846694,20.133563446846694
